happiness,amplitude,likes_count
0.015,0.015,6
0.141,0.141,4
1.0,1.0,9
1.0,1.0,9
0.0625,0.865,10
0.52,0.52,11
0.171,0.46,5
0.666,0.666,3
0.97,0.97,15
1.0,1.0,3
0.475,0.475,9
0.956,0.956,8
0.033,0.033,15
0.745,0.745,5
0.005,0.005,17
1.0,1.0,11
0.5725,1.0,4
0.001,0.001,29
0.123,0.165,6
1.0,1.0,9
0.103,0.103,7
0.743,0.743,8
0.781,0.781,8
0.0,0.0,9
0.006,0.02,10
0.073,0.184,6
0.985,0.985,9
0.618,0.618,28
0.303,0.303,21
0.487,0.974,33
0.757,0.757,25
0.039,0.039,20
0.332,0.332,13
0.945,0.945,28
0.999,0.999,46
0.975,0.975,30
0.662,0.662,34
0.892,0.892,30
0.087,0.087,23
1.0,1.0,51
0.899,0.899,51
0.115,0.115,27
0.5,1.0,33
0.705,0.705,53
0.996,0.996,60
0.997,0.997,43
0.013,0.013,22
0.0,0.028,13
0.0,0.0,12
0.979,0.979,15
0.009,0.009,18
1.0,1.0,25
0.0,0.0,27
0.011,0.178,22
0.30100000000000005,0.538,20
1.0,1.0,33
0.4795,0.959,37
0.7559999999999999,1.0,35
1.0,1.0,26
0.3333333333333333,1.0,26
0.96575,1.0,22
1.0,1.0,60
0.0005,0.01,42
0.7364999999999999,0.902,27
0.0035,0.28,24
0.0,0.001,20
0.3484,0.971,11
0.0285,0.057,18
0.2535,1.0,9
1.0,1.0,17
0.261,0.522,10
0.043,0.043,15
1.0,1.0,24
0.0,0.0,22
0.0,0.001,6
0.946,0.946,35
0.0,0.022,23
0.1505,0.601,25
0.0,0.005,13
0.41,0.82,19
0.0,0.0,18
0.0,0.0,17
0.0,0.311,26
0.112,0.112,70
0.0,0.011,30
0.268,0.268,178
0.0,0.0,216
0.0,0.001,83
0.8945000000000001,0.999,48
0.0,0.013,116
1.0,1.0,140
0.086,0.086,18
0.002,0.005,57
0.984,0.984,43
1.0,1.0,31
0.003,0.003,54
0.5710000000000001,0.801,37
0.988,0.988,21
1.0,1.0,54
1.0,1.0,46
0.538,1.0,55
1.0,1.0,26
0.275,0.577,72
0.56,0.632,14
0.249,0.992,7
0.001,0.006,5
0.604,1.0,9
0.0,0.04,287
0.0013333333333333333,0.004,23
0.117,0.234,37
0.012666666666666666,0.037,34
0.53,0.951,24
0.545,1.0,20
0.08966666666666667,0.197,30
0.325,0.325,12
0.01,0.01,16
0.008,0.008,12
0.0,0.001,23
0.0,0.001,30
0.6455,1.0,23
1.0,1.0,58
0.016,0.02,50
0.422,0.422,42
1.0,1.0,25
0.0,0.0,16
0.762,0.762,51
0.792,0.986,62
0.5005,1.0,32
1.0,1.0,57
0.9515,0.998,53
1.0,1.0,61
0.994,0.994,130
0.935,0.935,80
0.004,0.074,170
0.003,0.108,362
0.001,0.001,43
0.51,0.51,46
0.639,0.639,35
0.0,0.0,36
0.447,0.447,25
1.0,1.0,28
0.011,0.011,42
0.518,0.999,45
0.835,0.835,47
0.966,0.966,54
1.0,1.0,39
0.5795,0.915,45
0.9365,0.997,70
0.051,0.051,47
0.9,0.9,42
0.981,0.981,65
0.125,0.125,92
0.08,0.08,68
0.001,0.001,76
0.76,0.76,48
0.998,0.998,69
0.112,0.112,79
0.956,0.956,63
0.009,0.009,143
0.215,0.215,125
0.0,0.002,98
0.449,0.449,72
1.0,1.0,68
0.319,0.319,102
0.095,0.095,90
0.001,0.004,84
0.0,0.096,102
0.0,0.003,133
0.0,0.002,37
0.094,0.094,104
0.006,0.006,71
0.502,0.502,62
0.573,0.573,74
0.151,0.327,101
0.385,0.385,113
0.083,0.083,68
0.0,0.001,74
1.0,1.0,32
0.0,0.01,73
0.108,0.108,33
0.943,0.943,52
0.001,0.001,28
1.0,1.0,54
0.0,0.0,118
0.001,0.001,124
1.0,1.0,93
1.0,1.0,376
0.057,0.057,143
0.543,0.543,5
0.0,0.003,8
0.644,0.644,137
0.975,0.98,38
0.004,0.004,21
0.294,0.294,100
0.468,0.468,110
0.001,0.543,112
0.453,0.453,63
0.0,0.0,80
0.0,0.021,50
0.0,0.001,63
0.0,0.087,77
0.004,0.004,79
0.5434285714285715,1.0,31
0.0,0.001,73
0.974,0.974,94
0.704,0.704,86
0.0,0.005,44
0.0,0.002,95
0.647,0.647,150
0.49,0.527,42
0.0,0.008,242
0.008,0.008,245
0.0,0.005,163
0.086,0.086,16
0.0,0.0,36
0.25,0.25,24
0.0,0.001,22
0.0,0.0,96
0.205,0.205,48
0.929,0.929,49
0.0,0.099,68
0.001,0.001,41
0.068,0.068,45
0.0,0.005,70
0.0,0.03,92
0.997,0.997,63
0.005,0.041,31
0.045,0.045,267
1.0,1.0,201
0.003,0.019,164
0.063,0.063,106
0.801,0.801,92
0.003,0.003,69
0.001,0.001,237
1.0,1.0,198
0.368,0.368,208
0.084,0.084,243
0.002,0.223,271
0.225,0.225,250
0.205,0.205,155
0.776,0.776,188
0.087,0.087,124
0.09,0.09,241
0.712,0.712,51
1.0,1.0,75
0.6166153846153846,1.0,25
0.8021250000000001,1.0,26
0.856,0.856,161
0.5115,0.854,80
0.028,0.028,112
0.93,0.93,103
0.289,0.289,133
0.7697499999999999,1.0,93
0.756,0.756,127
0.323,0.323,91
0.905,0.905,4
0.564,0.564,11
0.0,0.001,7
1.0,1.0,9
1.0,1.0,25
0.007,0.018,2
0.999,0.999,25
1.0,1.0,37
1.0,1.0,35
0.5,1.0,1
0.5,1.0,36
0.445,0.445,19
1.0,1.0,23
0.01,0.01,6
0.913,0.913,154
0.003,0.003,192
0.179,0.179,110
0.01,0.01,183
0.984,0.984,58
0.7495,0.981,79
0.393,0.393,95
0.0,0.0,23
0.92,0.92,137
0.0,0.004,34
0.0,0.0,47
0.731,0.731,31
0.986,0.986,41
0.904,0.904,30
1.0,1.0,29
0.771,0.771,35
0.031,0.031,31
0.3975,0.53,25
0.152,0.152,27
0.422,0.422,28
0.029,0.06,37
0.42574999999999996,0.999,35
0.041,0.041,75
0.848,0.848,54
1.0,1.0,47
0.0,0.061,110
0.002,0.009,204
0.0,0.036,55
0.0,0.022,89
1.0,1.0,140
0.001,0.007,44
0.888,0.999,192
0.0,0.003,36
0.0,0.0,49
0.0,0.0,25
0.0,0.0,84
1.0,1.0,77
0.999,0.999,56
0.996,0.996,52
1.0,1.0,54
0.097,0.097,31
0.001,0.002,39
1.0,1.0,17
0.003,0.022,19
0.965,0.965,8
0.154,0.842,16
0.763,0.763,8
0.0,0.051,38
0.0,0.001,61
0.001,0.001,34
0.0165,0.033,32
0.0,0.002,46
0.004333333333333333,0.088,26
0.0,0.039,18
0.35185714285714287,1.0,15
0.012,0.012,6
0.0,0.577,17
0.2042,0.982,17
0.154,0.154,14
0.001,0.004,53
0.356,0.356,45
0.44133333333333336,0.982,39
0.9565999999999999,1.0,39
0.001,0.025,61
0.451,0.451,4
0.067,0.067,10
0.001,0.001,16
0.9085,0.959,11
0.0,0.0,11
0.842,0.842,84
0.618,0.618,44
0.0,0.001,44
0.0,0.0,25
